縣市,區域,店名,地址,電話,LINE聯絡方式,網站,地圖連結
台南市,中西區,名緻美顏spa生活舘-中西粉刺清潔|做臉推薦|美容護膚|無痛清粉刺|男女生做臉|孕婦按摩|艾草溫罐暖宮|放鬆按摩,700台灣台南市中西區西門路二段118號6樓,06 223 1553,N/A,http://www.mingzhispa.com.tw/,https://www.google.com/maps/place/?q=place_id:ChIJu8exxwp3bjQRL97vA9Wdn-0
台南市,中西區,QUiiN SPA . 台南,704台灣台南市北區北成路490號,06 252 3049,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJ9U6tG1R2bjQRSjTcgP0f46g
台南市,中西區,永康薪之顏樂活美學館 無痛清粉刺/痘痘/內皰/毛孔/凹洞/斑點/黑眼圈/敏感/做臉/護膚/美容/婚前保養/男士保養/台南/永康區-永康美容護膚|粉刺清潔|男女生做臉|肌膚保養|臉部保養|專業護膚美容|做臉推薦|無痛清粉刺,71072台灣台南市永康區仁愛街9號,0912 856 065,N/A,https://www.facebook.com/newleaf0516/,https://www.google.com/maps/place/?q=place_id:ChIJWf0y50V3bjQR1q9vFpDaGi0
台南市,中西區,ALEM BEAUTY 美容美體,708台灣台南市安平區育平六街68號,0927 860 306,N/A,https://instagram.com/alem.beauty_?igshid=OGQ5ZDc2ODk2ZA==,https://www.google.com/maps/place/?q=place_id:ChIJ5b1G45B3bjQRX25KPLbk3Ro
台南市,中西區,簡齡肌膚管理中心,704台灣台南市北區北園街1號2F,06 209 7072,N/A,https://instagram.com/jianling_1,https://www.google.com/maps/place/?q=place_id:ChIJUXifSWF3bjQRgbCMztxqiZE
台南市,中西區,FILF 小資美顏館｜美容｜清粉刺｜美睫｜SPA｜除毛,701台灣台南市東區東和路128號,06 209 2806,N/A,https://www.filf.com.tw/,https://www.google.com/maps/place/?q=place_id:ChIJE83cfL92bjQRkis9ommyBrg
台南市,中西區,雅莉安YALIAN美容美體SPA館,709台灣台南市安南區安中路一段699巷5號,06 255 5801,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJE43oC6N3bjQRdYdzLtsV4Zc
台南市,中西區,溫毯SPA美學,702031台灣台南市南區永成路三段493號2樓,N/A,N/A,https://lin.ee/ncI5WcD,https://www.google.com/maps/place/?q=place_id:ChIJR4Y4wkh1bjQROehz7LQCM9s
台南市,中西區,美的原點Spa仕女館,702台灣台南市南區夏林路5號2樓,06 223 9328,N/A,https://www.beauty-focus.com.tw/,https://www.google.com/maps/place/?q=place_id:ChIJCQefuXl2bjQRauUv9KwNcj8
台南市,中西區,嬌妃美容坊,702台灣台灣省南區三官路127號,06 264 8750,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJbco4Y9d1bjQREO74RbY0yqs
